Neighborhood,Average Income,Population,0-20k,20k-40k,40k-60k,60k-80k,80k-100k
Brittany Hills,"$39,017 ",2809,0.23,0.34,0.28,0.12,0.03
Clintonville,"$76,481 ",3699,0.11,0.16,0.27,0.34,0.12
Marion Franklin,"$34,257 ",5473,0.24,0.33,0.29,0.1,0.04
German Village,"$70,721 ",3108,0.09,0.16,0.29,0.32,0.14
Downtown Columbus,"$50,426 ",5221,0.06,0.19,0.41,0.26,0.08
Italian Village,"$52,823 ",2096,0.08,0.23,0.37,0.24,0.08
Livingstion Park North,"$28,000 ",1605,0.27,0.37,0.21,0.13,0.02
Milo-Grogan,"$13,403 ",2233,0.44,0.36,0.16,0.03,0.01
North Linden,"$31,786 ",2713,0.26,0.38,0.23,0.07,0.06
South Linden,"$19,583 ",1858,0.56,0.28,0.09,0.04,0.03
Victorian Village,"$57,641 ",3358,0.18,0.23,0.35,0.18,0.06
Easton,"$53,050 ",2569,0.08,0.28,0.39,0.15,0.1
Short North,"$57,175 ",1751,0.13,0.29,0.32,0.2,0.06
Polaris North,"$93,519 ",1809,0.08,0.12,0.19,0.34,0.27
Polaris South,"$52,939 ",1966,0.05,0.19,0.46,0.23,0.07
Blendon Woods,"$67,357 ",1225,0.06,0.14,0.27,0.36,0.17
Olde Town East,"$26,441 ",2893,0.34,0.46,0.12,0.07,0.01
Merion Village,"$43,063 ",5161,0.12,0.29,0.32,0.21,0.06
Weinland Park,"$11,548 ",4215,0.62,0.25,0.1,0.03,0
Old North Columbus,"$26,799 ",3572,0.32,0.31,0.25,0.11,0.01
